month,rp_div,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl
1960-01-01,0.006569202613539056,-3.394190875143058,-3.4683373802199573,-2.797533119807113,-0.5966577553359449,9.194175e-4,0.499502104,0.0221161675,0.0435,0.0441,0.0112,6.000000000000033e-4,0.007300000000000001,-0.0034013605
1960-02-01,-0.016387020616678155,-3.3839030335226585,-3.3747738194878707,-2.806662333841901,-0.5772406996807578,0.0011502458,0.4935567828,0.024037494,0.0396,0.0429,0.0204,0.0032999999999999974,0.007800000000000001,0.0034129693
1960-03-01,-0.01891897823053234,-3.3508080012835433,-3.364804282159023,-2.792666052966421,-0.5581419483171223,9.691465e-4,0.549798083,0.02559341,0.0331,0.0411,0.0282,0.008,0.007599999999999996,0
1960-04-01,0.02295847696643407,-3.3314249722693083,-3.3491084154702593,-2.7878377454525953,-0.5435872268167131,6.451661e-4,0.5634036895,0.0255771333,0.0323,0.0426,-0.017,0.010299999999999997,0.0075,0.0034013605
1960-05-01,0.016348918221333848,-3.3561757280091733,-3.329676899844734,-2.8273893905167506,-0.5287863374924227,4.235585e-4,0.5419664269,0.0244143755,0.0329,0.0417,0.0152,0.008800000000000002,0.008199999999999999,0
1960-06-01,-0.02554172522064683,-3.373817400645996,-3.3544819867466136,-2.8599195778430353,-0.5138978228029607,4.989479e-4,0.5291748619,0.0242699263,0.0246,0.0407,0.0173,0.0161,0.008100000000000003,0.0033898305
1960-07-01,0.02322324534687135,-3.3487338121264147,-3.373817400645996,-2.8338242313845257,-0.5149095807418889,9.7782e-4,0.5496732768,0.0257784868,0.023,0.0382,0.0368,0.015199999999999998,0.008100000000000003,0
1960-08-01,-0.061767242830150206,-3.374519894528065,-3.3487338121264147,-2.8585689660657323,-0.5159509284623325,6.369674e-4,0.5415421972,0.0251955351,0.023,0.039,-0.0067,0.016,0.008,0
1960-09-01,-0.004543943251850034,-3.312226043244318,-3.374519894528065,-2.795265430910811,-0.5169606123335067,0.0017716222,0.5843417106,0.028312467,0.0248,0.0387,0.0075,0.0139,0.007599999999999996,0
1960-10-01,0.03681588954479927,-3.3097940899364393,-3.312226043244318,-2.7928334776029327,-0.5169606123335067,0.0010487146,0.5841202013,0.0278237978,0.023,0.0391,-0.0028,0.016100000000000003,0.008100000000000003,0.0067567568
1960-11-01,0.0421343215562874,-3.3492741093029976,-3.3097940899364393,-2.832313496969491,-0.5169606123335067,6.68674e-4,0.5676300191,0.026034213,0.0237,0.0399,-0.0066,0.0162,0.0076999999999999985,0
1960-12-01,0.0573613671963722,-3.394508393511359,-3.3492741093029976,-2.8775477811778525,-0.5169606123335067,4.503055e-4,0.5504229651,0.0227613608,0.0225,0.038,0.0279,0.0155,0.0075,0
1961-01-01,0.02426422622505959,-3.45744405617734,-3.396202134773919,-2.957308750348511,-0.5001353058288289,7.411237e-4,0.5229867325,0.0218153361,0.0224,0.0404,-0.0107,0.018,0.0077999999999999944,0
